Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories
1503960366,25/03/2016,11004.00,7.11,7.11,0,2.57,0.46,4.07,0.00,33,12,205,804,1819.00
1503960366,26/03/2016,17609.00,11.55,11.55,0,6.92,0.73,3.91,0.00,89,17,274,588,2154.00
1503960366,27/03/2016,12736.00,8.53,8.53,0,4.66,0.16,3.71,0.00,56,5,268,605,1944.00
1503960366,28/03/2016,13231.00,8.93,8.93,0,3.19,0.79,4.95,0.00,39,20,224,1080,1932.00
1503960366,29/03/2016,12041.00,7.85,7.85,0,2.16,1.09,4.61,0.00,28,28,243,763,1886.00
1503960366,30/03/2016,10970.00,7.16,7.16,0,2.36,0.51,4.29,0.00,30,13,223,1174,1820.00
1503960366,31/03/2016,12256.00,7.86,7.86,0,2.29,0.49,5.04,0.00,33,12,239,820,1889.00
1503960366,01/04/2016,12262.00,7.87,7.87,0,3.32,0.83,3.64,0.00,47,21,200,866,1868.00
1503960366,02/04/2016,11248.00,7.25,7.25,0,3.00,0.45,3.74,0.00,40,11,244,636,1843.00
1503960366,03/04/2016,10016.00,6.37,6.37,0,0.91,1.28,4.18,0.00,15,30,314,655,1850.00
1503960366,04/04/2016,14557.00,9.80,9.80,0,3.39,0.70,5.69,0.00,43,18,285,757,2030.00
1503960366,05/04/2016,14844.00,9.73,9.73,0,2.94,0.76,6.04,0.00,36,18,341,736,2083.00
1503960366,06/04/2016,11974.00,7.67,7.67,0,2.04,0.48,5.15,0.00,27,12,228,1173,1861.00
1503960366,07/04/2016,10198.00,6.44,6.44,0,1.20,0.79,4.45,0.00,17,20,195,1208,1755.00
1503960366,08/04/2016,12521.00,7.94,7.94,0,3.31,0.90,3.74,0.00,46,22,212,1160,1895.00
1503960366,09/04/2016,12432.00,8.10,8.10,0,2.59,0.59,4.92,0.00,32,15,248,738,1883.00
1503960366,10/04/2016,10057.00,6.98,6.98,0,4.00,0.49,2.48,0.00,44,13,168,737,1755.00
1503960366,11/04/2016,10990.00,7.26,7.26,0,2.04,0.57,4.65,0.00,26,14,216,855,1811.00
1503960366,12/04/2016,224.00,0.14,0.14,0,0.00,0.00,0.13,0.00,0,0,9,32,50.00
